ID	NameB	TF
1340	石上	2,382
1341	宗像	2,379
1342	平岩	2,374
1343	土岐	2,370
1344	水越	2,367
1345	鬼塚	2,364
1346	萩野	2,360
1347	市橋	2,358
1348	春田	2,356
1349	照屋	2,356
1350	越川	2,355
1351	上地	2,351
1352	星川	2,344
1353	平木	2,344
1354	神尾	2,342
1355	竹沢	2,341
1356	谷岡	2,340
1357	新藤	2,339
1358	大須賀	2,335
1359	安本	2,334
1360	山地	2,326
1361	佐原	2,325
1362	池野	2,324
1363	大河内	2,321
1364	石津	2,316
1365	深見	2,315
1366	平島	2,315
1367	大賀	2,312
1368	赤沢	2,310
1369	藤枝	2,310
1370	小松崎	2,305
1371	長江	2,303
1372	園部	2,299
1373	安倍	2,298
1374	野澤	2,294
1375	脇坂	2,294
1376	杉谷	2,292
1377	小木曽	2,290
1378	蛭田	2,287
1379	崎山	2,285
1380	一ノ瀬	2,281
1381	藤	2,280
1382	近江	2,277
1383	大本	2,276
1384	秋吉	2,274
1385	元木	2,267
1386	吉松	2,265
1387	竹川	2,261
1388	赤石	2,259
1389	守田	2,257
1390	小田切	2,257
1391	猿渡	2,256
1392	米川	2,256
1393	坪内	2,255
1394	宮武	2,252
1395	横内	2,250
